data_time,UE_Pcell_rsrp,UE_Ncell_rsrp_1,UE_Ncell_rsrp_2,UE_mcs2_ul,UE_mcs1_dl,UE_wbCQI,UE_mcs1_dl,Pcell_prb_dl_used,UE_pdu_dl_used,UE_tbs_dl_used,Ncell_prb_dl_used_1,Ncell_prb_dl_used_2,UE_prb_retx_rate
2021-06-21+19_33_08,-65,-97,-85,28,28,15,27.99414063,12444,517,1140088,0,0,0.009945103
2021-06-21+19_33_09,-65,-98,-85,28,28,15,27.9965035,13916,577,1275074,0,0,0.0089025
2021-06-21+19_33_11,-65,-84,-85,28,28,15,27.99598394,12147,503,1112909,0,0,0.002053894
2021-06-21+19_33_12,-65,-83,-85,28,28,15,28,13276,551,1216860,0,0,0.016009487
2021-06-21+19_33_13,-65,-84,-85,28,28,15,27.95348837,13494,564,1236445,0,0,0.010993843
2021-06-21+19_33_14,-65,-93,-85,28,28,15,27.98627787,14021,587,1285129,0,0,0.009956221
2021-06-21+19_33_15,-65,-80,-85,28,28,15,28,15372,641,1409363,0,0,0.01556196
2021-06-21+19_33_16,-65,-88,-85,28,28,15,27.9858156,17028,707,1561041,0,0,0.005315731
2021-06-21+19_33_17,-65,-84,-85,28,28,15,27.9257732,11422,489,1046393,0,0,0.0183912
2021-06-21+19_33_18,-65,-94,-85,28,28,15,27.83448276,6885,296,629866,0,0,0.021321962
2021-06-21+19_33_19,-65,-93,-85,28,22,15,27.91881188,12155,509,1113589,0,0,0.017460189
2021-06-21+19_33_20,-65,-96,-85,28,28,15,27.99015748,12319,513,1128754,0,0,0.014006723
2021-06-21+19_33_21,-65,-87,-85,28,28,15,27.97773655,13103,543,1200507,0,0,0.009449652
2021-06-21+19_33_22,-65,-97,-85,28,14,15,25.66666667,95,15,7031,0,0,0
2021-06-21+19_33_23,-65,-86,-85,28,28,15,27.97701149,14730,612,1350235,0,0,0.006139937
2021-06-21+19_33_24,-65,-91,-85,28,28,15,28,17367,716,1592346,0,0,0.009976057
2021-06-21+19_33_25,-65,-88,-85,28,28,15,28,13954,579,1278985,0,0,0.013503005
2021-06-21+19_33_26,-65,-87,-85,28,28,15,27.98283931,15574,645,1427049,0,0,0.007962291
2021-06-21+19_33_27,-65,-87,-85,28,28,15,27.95059625,14228,590,1304047,0,0,0.018487859
2021-06-21+19_33_28,-65,-87,-85,28,28,15,27.95595432,14829,616,1359215,0,0,0.018207097
2021-06-21+19_33_29,-66,-87,-85,28,28,15,27.97508897,13666,567,1252255,0,0,0.003645378
2021-06-21+19_33_30,-66,-88,-85,28,28,15,28,12863,535,1178805,0,0,0.016515024
2021-06-21+19_33_31,-65,-97,-85,28,28,15,27.96374046,12688,529,1162577,0,0,0.007121058
2021-06-21+19_33_32,-65,-84,-85,28,28,15,28,941,48,84922,0,0,0.016718913
2021-06-21+19_33_33,-65,-96,-85,28,28,15,27.99209486,12266,511,1123903,0,0,0.006077303
2021-06-21+19_33_34,-65,-98,-85,28,28,15,27.99387755,11915,495,1091745,0,0,0.006420947
2021-06-21+19_33_35,-65,-88,-85,28,28,15,27.99072356,13055,543,1196468,0,0,0.011359334
2021-06-21+19_33_36,-65,-87,-85,28,28,15,27.95126354,13411,559,1228733,0,0,0.007401377
2021-06-21+19_33_38,-65,-98,-85,28,28,15,27.9731286,12685,525,1162393,0,0,0.005877743
2021-06-21+19_33_39,-65,-87,-85,28,28,15,28,10005,415,916591,0,0,0.012339585
2021-06-21+19_33_40,-66,-97,-85,28,28,15,27.96183206,3140,139,286372,0,0,0.028765852
2021-06-21+19_33_41,-66,-96,-85,28,28,15,27.99799599,12104,504,1109103,0,0,0.002061176
2021-06-21+19_33_42,-65,-87,-85,28,28,15,28,12144,506,1112824,0,0,0.012281415
2021-06-21+19_33_43,-66,-104,-85,28,28,15,27.99465241,13666,565,1252312,0,0,0.001826017
2021-06-21+19_33_44,-66,-88,-85,28,28,15,27.9939759,12093,502,1108091,0,0,0.012574508
