dataTime,pcelRsrp,ncell1Rsrp,ncell2Rsrp,mcs1Dl,mcs2Dl,wbCqi,mcs2dl_ave,prb_used_pcell,pdu_used,tbs_used,prb_used_ncell1,prb_used_ncell2,prb_retxrate
2021-06-13+16_28_53,-66,-86,-95,28,28,15,27.99602386,12271,507,1124454,0,13062,0
2021-06-13+16_28_54,-66,-86,-95,28,28,15,27.95053763,11312,470,1036338,0,10855,0
2021-06-13+16_28_55,-66,-86,-95,28,28,15,28,13049,540,1195763,0,10803,0
2021-06-13+16_28_56,-66,-86,-95,28,28,15,28,12302,509,1127231,0,10854,0
2021-06-13+16_28_57,-66,-86,-95,28,28,15,28,10863,450,995484,0,11414,0
2021-06-13+16_28_58,-66,-86,-95,28,28,15,28,10382,433,950794,0,11648,0.001346672
2021-06-13+16_28_59,-66,-86,-95,28,28,15,28,15082,622,1382371,0,15547,0
2021-06-13+16_29_00,-66,-86,-95,28,28,15,27.98409091,10709,444,981081,0,10675,0
2021-06-13+16_29_01,-66,-86,-95,28,28,15,28,10342,429,947519,0,11089,0
2021-06-13+16_29_02,-66,-86,-95,28,28,15,28,12292,510,1126169,0,12327,0
2021-06-13+16_29_03,-66,-86,-95,28,28,15,28,12703,525,1164182,0,11075,0
2021-06-13+16_29_04,-66,-86,-95,28,28,15,27.9956427,11182,466,1024162,0,10842,0.001607143
2021-06-13+16_29_05,-66,-86,-95,28,28,15,28,10346,430,947646,0,10827,0
2021-06-13+16_29_06,-66,-86,-95,28,28,15,28,11798,488,1081243,0,10816,0
2021-06-13+16_29_07,-66,-86,-95,28,28,15,27.97395833,14033,581,1285695,0,10819,0
2021-06-13+16_29_08,-66,-86,-95,28,28,15,27.99528302,10334,428,946913,0,10830,0
2021-06-13+16_29_09,-66,-86,-95,28,28,15,28,11998,498,1099203,0,10835,0
2021-06-13+16_29_10,-66,-86,-95,28,28,15,28,12165,503,1114834,0,10814,0.00114952
2021-06-13+16_29_12,-66,-86,-95,28,28,15,27.99595142,12055,500,1104319,0,11234,0
2021-06-13+16_29_13,-66,-86,-95,28,28,15,27.98349057,10336,428,946942,0,10413,0
2021-06-13+16_29_14,-66,-86,-95,28,28,15,28,10338,428,947361,0,12661,0
2021-06-13+16_29_15,-66,-86,-95,28,28,15,28,12060,499,1105055,0,10368,0
2021-06-13+16_29_16,-66,-86,-95,28,28,15,28,12267,509,1123887,0,12774,0
2021-06-13+16_29_17,-66,-86,-95,28,28,15,28,11845,491,1085354,0,10322,0
2021-06-13+16_29_18,-66,-86,-95,28,28,15,27.98349057,10340,428,947326,0,10412,0
2021-06-13+16_29_19,-66,-86,-95,28,28,15,27.94613583,10405,433,952962,0,12691,0
2021-06-13+16_29_20,-66,-86,-95,28,28,15,27.98170732,11990,496,1098558,0,9993,0
2021-06-13+16_29_21,-66,-86,-95,28,28,15,28,12496,517,1145039,0,12834,0.001438389
2021-06-13+16_29_22,-66,-86,-95,28,28,15,27.99518072,10117,420,926817,0,10798,0
2021-06-13+16_29_23,-66,-86,-95,28,28,15,27.99757869,10059,417,921640,0,10780,0
2021-06-13+16_29_24,-66,-86,-95,28,28,15,28,12187,506,1116493,0,11405,0
2021-06-13+16_29_25,-66,-86,-95,28,28,15,28,10338,428,947330,0,11878,0
2021-06-13+16_29_26,-66,-86,-95,28,28,15,28,10338,430,946985,0,10815,0
2021-06-13+16_29_27,-66,-86,-95,28,28,15,27.93176471,10338,430,946893,0,11412,0
2021-06-13+16_29_28,-66,-86,-95,28,28,15,28,10340,429,947365,0,11521,0
2021-06-13+16_29_29,-66,-86,-95,28,28,15,28,10337,428,947048,0,11590,0
2021-06-13+16_29_30,-66,-86,-95,28,28,15,27.99795082,11892,494,1089393,0,11360,0
2021-06-13+16_29_31,-66,-86,-95,28,28,15,28,12640,522,1158382,0,10394,0
2021-06-13+16_29_32,-66,-86,-95,28,28,15,27.99515738,10069,419,922216,0,10688,0
2021-06-13+16_29_33,-66,-86,-95,28,28,15,27.94297352,11918,496,1091793,0,11936,0
2021-06-13+16_29_36,-66,-86,-95,28,28,15,27.9811543,20684,860,1894624,0,24960,0
2021-06-13+16_29_37,-66,-86,-95,28,28,15,27.99764151,10334,428,946898,0,11349,0
2021-06-13+16_29_38,-66,-86,-95,28,21,15,27.98349057,10332,429,946460,0,13233,0
2021-06-13+16_29_39,-66,-86,-95,28,28,15,28,10340,429,947334,0,13219,0
2021-06-13+16_29_40,-66,-86,-95,28,28,15,28,11213,464,1027331,0,10954,0
2021-06-13+16_29_41,-66,-86,-95,28,22,15,27.99,14625,603,1340461,0,11379,0
2021-06-13+16_29_42,-66,-86,-95,28,28,15,28,10337,428,947048,0,10650,0
2021-06-13+16_29_43,-66,-86,-95,28,28,15,28,10340,429,947365,0,10691,0.001737787
2021-06-13+16_29_44,-66,-86,-95,28,28,15,28,10336,429,946950,0,12403,0
2021-06-13+16_29_45,-66,-86,-95,28,28,15,27.98349057,10328,428,946302,0,12985,0
2021-06-13+16_29_46,-67,-86,-95,28,28,15,28,10628,442,973556,0,10309,0
2021-06-13+16_29_47,-66,-86,-95,28,28,15,28,10117,419,927042,0,10388,0.000987459
2021-06-13+16_29_48,-65,-86,-95,28,28,15,27.99568035,11285,468,1033953,0,12740,0
2021-06-13+16_29_49,-66,-86,-95,28,25,15,27.98487395,14520,599,1330538,0,10016,0
2021-06-13+16_29_50,-66,-86,-95,28,28,15,28,10340,429,947365,0,13086,0
2021-06-13+16_29_51,-66,-86,-95,28,28,15,27.98349057,10338,429,946956,0,11708,0
2021-06-13+16_29_52,-66,-86,-95,28,28,15,27.99794661,11867,493,1087070,0,10768,0
2021-06-13+16_29_53,-66,-86,-95,28,28,15,28,10069,417,922656,0,10279,0
2021-06-13+16_29_54,-66,-86,-95,28,28,15,28,10094,419,924754,0,12845,0
2021-06-13+16_29_55,-67,-86,-95,28,28,15,27.99805068,12515,518,1146745,0,10361,0
2021-06-13+16_29_58,-66,-86,-95,28,28,15,27.99784017,22586,937,2069132,0,23063,0
2021-06-13+16_29_59,-66,-86,-95,28,28,15,28,10090,418,924574,0,10350,0
2021-06-13+16_30_00,-66,-86,-95,28,28,15,27.98398169,10642,443,974587,0,13645,0
2021-06-13+16_30_01,-66,-86,-95,28,28,15,28,10336,427,947140,0,11838,0
2021-06-13+16_30_02,-66,-86,-95,28,28,15,28,10342,430,947379,0,12368,0
2021-06-13+16_30_03,-67,-86,-95,28,28,15,28,10337,428,947017,0,14656,0
2021-06-13+16_30_04,-66,-86,-95,28,28,15,28,10334,428,946977,0,11233,0
2021-06-13+16_30_05,-66,-86,-95,28,28,15,28,10342,430,947338,0,10811,0
2021-06-13+16_30_06,-67,-86,-95,28,28,15,28,10338,429,947104,0,10832,0
2021-06-13+16_30_07,-66,-86,-95,28,28,15,28,10338,430,946996,0,10813,0
2021-06-13+16_30_08,-66,-86,-95,28,28,15,28,10373,430,950329,0,10820,0
2021-06-13+16_30_09,-66,-86,-95,28,28,15,28,10333,429,946503,0,10805,0
2021-06-13+16_30_10,-66,-86,-95,28,28,15,27.99596774,12088,500,1107761,0,10816,0
2021-06-13+16_30_11,-66,-86,-95,28,28,15,28,10050,417,920773,0,10803,0
2021-06-13+16_30_12,-66,-86,-95,28,28,15,27.98249027,12532,519,1148074,0,11624,0
2021-06-13+16_30_13,-66,-86,-95,28,28,15,28,10075,417,923215,0,10266,0
2021-06-13+16_30_14,-66,-86,-95,28,28,15,27.98547215,10065,420,921614,0,10580,0
2021-06-13+16_30_15,-66,-86,-95,28,28,15,28,12416,513,1137853,0,12620,0
2021-06-13+16_30_16,-66,-86,-95,28,28,15,27.99759615,10147,423,929149,0,10302,0
2021-06-13+16_30_17,-67,-86,-95,28,28,15,27.99537037,10527,437,964369,0,12649,0
2021-06-13+16_30_18,-67,-86,-95,28,28,15,27.99528302,10338,429,947040,0,11240,0
2021-06-13+16_30_19,-67,-86,-95,28,28,15,28,10340,428,947484,0,10234,0
2021-06-13+16_30_20,-67,-86,-95,28,28,15,28,10336,429,946950,0,12807,0
2021-06-13+16_30_23,-67,-86,-95,28,28,15,28,20680,860,1894323,0,22170,0
2021-06-13+16_30_24,-67,-86,-95,28,28,15,28,10340,431,946989,0,10835,0
2021-06-13+16_30_25,-66,-86,-95,28,28,15,28,10569,438,968308,0,10827,0
2021-06-13+16_30_26,-66,-86,-95,28,28,15,28,10102,420,925392,0,10799,0
2021-06-13+16_30_27,-67,-86,-95,28,28,15,27.94726563,12481,516,1143628,0,10830,0
2021-06-13+16_30_28,-67,-86,-95,28,28,15,28,10046,417,920389,0,10805,0.001788553
2021-06-13+16_30_29,-66,-86,-95,28,28,15,28,10096,419,924973,0,10821,0
2021-06-13+16_30_30,-66,-86,-95,28,28,15,28,10063,417,922118,0,10818,0
2021-06-13+16_30_31,-66,-86,-95,28,28,15,28,12507,519,1145854,0,10797,0
2021-06-13+16_30_32,-66,-86,-95,28,28,15,28,10085,418,924119,0,10819,0
2021-06-13+16_30_33,-66,-86,-95,28,28,15,28,9978,415,913970,0,10817,0
2021-06-13+16_30_34,-66,-86,-95,28,28,15,28,12459,515,1141790,0,10836,0
2021-06-13+16_30_35,-66,-86,-95,28,28,15,28,10046,417,920368,0,10808,0
2021-06-13+16_30_36,-66,-86,-95,28,28,15,27.99516908,10094,419,924648,0,10843,0
2021-06-13+16_30_37,-66,-86,-95,28,28,15,27.99558499,11042,459,1011472,0,10836,0
2021-06-13+16_30_38,-66,-86,-95,28,27,15,27.99764151,10336,429,946933,0,10840,0
2021-06-13+16_30_39,-66,-86,-95,28,28,15,27.98584906,10340,428,947373,0,10793,0
2021-06-13+16_30_40,-66,-86,-95,28,28,15,27.98349057,10336,431,946338,0,10826,0.002412895
2021-06-13+16_30_41,-66,-86,-95,28,28,15,28,10334,428,946966,0,10795,0
2021-06-13+16_30_42,-66,-86,-95,28,28,15,28,10344,430,947492,0,10836,0
2021-06-13+16_30_43,-66,-86,-95,28,28,15,28,10338,429,947114,0,10796,0
2021-06-13+16_30_44,-66,-86,-95,28,28,15,27.99528302,10334,428,946882,0,12544,0
2021-06-13+16_30_45,-66,-86,-95,28,28,15,28,10346,431,947527,0,10146,0
2021-06-13+16_30_46,-66,-86,-95,28,28,15,27.99764151,10336,428,947052,0,13335,0
2021-06-13+16_30_47,-67,-86,-95,28,28,15,28,11620,481,1064711,0,10042,0
2021-06-13+16_30_50,-66,-86,-95,28,28,15,28,22588,936,2069576,0,22655,0
2021-06-13+16_30_51,-66,-86,-95,28,28,15,28,10069,419,922290,0,10187,0
2021-06-13+16_30_52,-67,-86,-95,28,28,15,27.98309179,10096,418,924934,0,12506,0
2021-06-13+16_30_53,-66,-86,-95,28,28,15,28,12492,518,1144515,0,10170,0
2021-06-13+16_30_54,-66,-86,-95,28,28,15,27.97669903,25030,1030,2294928,0,12532,0.00071862
2021-06-13+16_30_55,-66,-86,-95,28,28,15,27.63793103,2470,124,224764,0,10082,0.007234727
2021-06-13+16_30_56,-66,-86,-95,28,28,15,27.99511002,9963,414,912793,0,10131,0
2021-06-13+16_30_57,-66,-86,-95,28,28,15,28,26866,1100,2463648,0,12420,0
2021-06-13+16_30_58,-66,-86,-95,28,28,15,27.5026738,4335,194,395478,0,10840,0
